Name,Latitude,Longitude,Google,TripAdvisor,Price,Type,ImgURL,Description
Old Melbourne Gaol,-37.807679394135356,144.9653170973477,4.5,4.5,33,Indoor,https://amble.guide/wp-content/uploads/2022/04/Old-Melbourne-Goal-5.jpg,"The Old Melbourne Gaol operated from 1824 to 1929, and was the scene of 133 hangings, including that of the notorious gang leader, Ned Kelly. Now it’s open as a museum and allows you to walk through the cells, see the stocks and learn about its grisly past. They operate day tours and ghost tours."
Melbourne River Cruise,-37.81903707842122,144.9657416262648,4.3,4,58,Feature,https://amble.guide/wp-content/uploads/2022/05/Melbourne-River-Cruise-Melbourne-2.jpg,"Melbourne River Cruises offers a unique way to discover Melbourne with a variety of cruises to choose from. Experience panoramic views of the city skyline, iconic landmarks, & natural scenery from the comfort of a boat. With tour guides, onboard amenities, and the ability to customise your experience, a river boat cruise on the Yarra is a must-do activity for locals and tourists alike. If you’re a foodie looking to sample Melbourne’s incredible cuisine, then our Spirit of Melbourne Dinner Cruise is a must-do. This two and a half hour experience combines stunning views of the city with a delicious three-course meal, prepared by our onboard chef. You’ll enjoy a selection of local wines and beers while taking in the sights and sounds of Melbourne at night. So why not discover Melbourne from a whole new perspective with Melbourne River Cruises? Our cruises offer a fun & unique way to explore the city, with something for everyone Book your cruise today & experience the best of Melbourne"
Rooftop Bar,-37.81703486591405,144.96712529317145,4.1,4,15,Casual,https://amble.guide/wp-content/uploads/2022/05/Rooftop-Bar-Melbourne-2.jpg,"Australia’s rooftop bar scene began in Melbourne. Thrifty proprietors had empty roof space and saw the perfect opportunity. One of these original rooftop bars is very simply called Rooftop Bar. Perched seven floors up, this spacious bar is covered in astroturf and has a beautiful view of the city. However come prepared to climb the stairs: the tiny lift, as charming as it is, is often out of action. Rooftop Bar is open all year round, however, it truly shines during the warmer months."
Queen Victoria Market,-37.807376334051106,144.95678499734768,4.5,4.5,0,Feature,https://amble.guide/wp-content/uploads/2022/05/Queen-Victoria-Market-Melbourne.jpg,"Queen Victoria Market is an authentic, bustling, inner-city market that has been the heart and soul of Melbourne for over 140 years. Home to over 600 small businesses, it’s a great place to discover fresh and specialty produce, hand-made and unique products, great coffee and food, souvenirs and clothing. Shopping at the Market has always been one of life’s great pleasures. It’s not just the abundance of fresh food, it’s the friendly banter with the traders, the vibrant and multicultural atmosphere, the special events and festivals, and the sense of belonging that comes with it. Queen Victoria Market is also home to the Night Market on Wednesday nights, showcasing global street food, live music and entertainment, festival bars, specialty shopping and a great Melbourne night out. Be sure to take the Ultimate Foodie Tour, a two-hour, guided walking tour where you’ll indulge in some of the best food the Market has to offer. Bookings essential."
Melbourne Museum,-37.803120384717225,144.9717407973474,4.6,4.5,15,Feature,https://amble.guide/wp-content/uploads/2022/05/Melbourne-Museum-Melbourne-3.jpg,"One of Australia's popular and loved museums! Perfect for the whole family, Melbourne Museum showcases Australian social history, Aboriginal cultures, science and the environment. Inside: Experience Victorian and Australian Aboriginal culture - from the time of Creation through to today; Marvel at the history and development of Melbourne; Walk through a living forest; Surround yourself with life-size dinosaurs and animals from around the world; - Enter a world of dreams, emotions, thoughts and memories in the Mind and Body Gallery; Visit the Children's Gallery for a world designed especially for childrend aged 3 0 8 years old; Be immersed in the latest IMAX films;- Discover the rich history of the World Heritage listed Royal Exhibition Building, and that's just the start! Melbourne Museum is located adjacent to the World Heritage listed Royal Exhibition Building in Carlton and is home to IMAX Melbourne and the Bunjilaka Aboriginal Cultural Centre."
Hot Air Balloon,-37.81574630737305,144.98326110839844,4.6,4.8,569,Adventure,https://amble.guide/wp-content/uploads/2022/05/Hot-Air-Balloon-Melbourne-4.jpg,"There’s nothing like a hot air balloon to get a view of the city. Every morning, these hot air balloons fire up in a Melbourne suburb and then float for an hour above the city; Melbourne is one of the few cities in the world where that’s possible. Not only does it make for an exciting adventure, but it’s also a great way to understand the layout of Melbourne."
Parliament House,-37.8108229992052,144.9738652093053,4.2,4.5,0,Indoor,https://amble.guide/wp-content/uploads/2022/05/Parliament-House-Melbourne.jpg,"Victoria's Parliament House is one of Australia's oldest and most architecturally distinguished public buildings. It is a working State Parliament, and is also the building where Australia's first Federal Parliament met from 1901 until 1927. Free guided tours are provided on non-sitting days: Monday - Friday 9:30am, 10:30am, 3.00pm, and 4.00pm. (Tours for groups of 6 or more are also free, but must be booked in advance.) Visitors can book for High Tea or Lunch in Stranger's Corridor during non-sitting weeks."
Yarra Valley and The Dandenongs,-37.74447604179454,145.34605722402034,4.4,5,162.38,Country,https://amble.guide/wp-content/uploads/2022/05/Yarra-Valley-Victoria-6.jpg,"Do you like wine? We thought so. You’ll be spoilt for choice at the Yarra Valley. This regional area is home to hundreds of wineries, notably producing Chardonnay, sparkling wine, and Pinot noir. It’s a very popular tourist destination, welcoming over three million visitors every year. You can visit wineries, try samples, and then purchase your favourites."
Cooks Cottage,-37.814314132628574,144.97946369318163,4.3,4,7.2,Feature,https://amble.guide/wp-content/uploads/2022/05/Cooks-Cottage-Melbourne-2.jpg,"A visit to the historic landmark Cooks' Cottage, situated in the beautiful heritage-listed Fitzroy Gardens, is a must when exploring Melbourne. Built in 1755, Cooks' Cottage is the oldest building in Australia and a popular Melbourne tourist attraction. Originally located in Yorkshire, England, and built by the parents of Captain James Cook, the cottage was brought to Melbourne by Sir Russell Grimwade in 1934. Astonishingly, each brick was individually numbered, packed into barrels and then shipped to Australia. Combining modern interpretations of Captain Cook's adventures, centuries-old antiques, a delightful English cottage garden and volunteers dressed in 18th century costumes, Cooks' Cottage is a fascinating step back in time. Entry to the cottage includes a comprehensive fact sheet for a self-guided tour. Available in English, Cantonese, Mandarin, Italian, Spanish, Russian, Thai, Indonesian, Japanese, German, French and Korean. School tours and group visits/tours are available. Seasonal school holiday programs and special events are also held throughout the year. Tickets and souvenirs can be purchased from the Fitzroy Gardens Visitor Centre, just 100 metres away."
Melbourne Cricket Ground,-37.81981431920893,144.9834492973481,4.7,4.5,33,City Tour,https://amble.guide/wp-content/uploads/2022/05/Melbourne-Cricket-Ground-Melbourne-1.jpg,"The Melbourne Cricket Ground (MCG) is Australia's largest, oldest and most popular sporting venue. The MCG has hosted plenty of international cricket, including the first-ever Test and the 1992 World Cup final, countless VFL/AFL Grand Finals, the 1956 Olympic Games and 2006 Commonwealth Games. It also hosted the final of ICC Cricket World Cup 2015. Other sporting spectacles include FIFA World Cup soccer qualifiers, rugby league home and away matches and State of Origin and international rugby union clashes. Apart from its sporting events, the MCG has also witnessed many blockbuster music concerts, and even Pope John Paul II held a mass there when he visited Melbourne in 1986. The MCG has a total capacity of 100,024 people, comprising 95,024 seats and 5000 standing room spaces. The stadium also houses the National Sports Museum, which includes some of the most priceless pieces of memorabilia in Australian sporting history."
St Kilda,-37.86781982057889,144.97401626679667,4.7,4.5,0,City Tour,https://amble.guide/wp-content/uploads/2022/07/St-Kilda-Melbourne-4.jpg,"When it comes to Australian beaches, Melbourne isn’t the first place that comes to mind, but we do have St Kilda; a beachside precinct about 6km from the city centre. Here you’ll find a dining district, beachside bars, a theme park, and adorable fairy penguins."
Shrine of Remembrance,-37.83011676228736,144.97352159510487,4.8,4.5,0,Feature,https://amble.guide/wp-content/uploads/2022/05/Shrine-of-Remembrance-Melbourne-1.jpg,"The Shrine is Victoria's national memorial honouring the service and sacrifice of Australians in war and peacekeeping. Explore Melbourne’s iconic landmark to find peaceful reflection, discover the real-life stories of Australians in wartime and view breathtaking vistas of the memorial gardens and Melbourne"
Royal Arcade,-37.81444553851314,144.9640410396766,4.4,4.5,0,City Tour,https://amble.guide/wp-content/uploads/2022/05/Royal-Arcade-Melbourne-5.jpg,"The Royal Arcade is a charming heritage shopping arcade in the heart of Melbourne's CBD. The Royal Arcade was proudly the first arcade in Melbourne and is the longest-standing arcade in Australia. Originally designed by Charles Webb and constructed in 1869, the arcade has high glass roof and windowed stores. At the south end, the arcade features effigies of mythical figures Gog and Magog and a clock that chimes each hour. The arcade connects Little Collins Street to the Bourke Street Mall, with a perpendicular passage running to Elizabeth Street in the west. The Royal Arcade is much loved by locals and tourists and is an icon of the city. It is recognised on the Victorian Heritage Register and Melbourne's Golden Mile heritage walk runs through the arcade. The Royal Arcade is famous for its boutique fashion stores as well as specialty stores such as Spellbox where you can have your fortune read, Little royal Macarons and Babushka Russian dolls. The Royal Arcade houses an eclectic mix of unique stores with something to suite all tastes."
The Yarra Trail,-37.74114588940155,145.13779561478708,4.7,4.5,0,Country,https://amble.guide/wp-content/uploads/2022/05/Yarra-Trail-Melbourne-1.jpg,"While walking is the best way to explore the city, a bike will help get you out to the suburbs. The Yarra Trail winds along the (Yarra) river for 35km (22 miles), passing Dights Falls, wattles and eucalypts, and Studley Park Boathouse."
Phillip Island,-38.49007301821494,145.20651731227596,4.6,4.5,0,Country,https://amble.guide/wp-content/uploads/2022/06/Phillip-Island-Melbourne-2.jpg,"Phillip Island is known for many things, but just like St Kilda, it’s the fairy penguins that capture visitor’s hearts. These adorable creatures can only be spotted on the southern coast of mainland Australia, and spend 80% of their time out at the sea. Come sunset they waddle up the beach to take roost, in what is dubbed ‘the penguin parade.’"
Peninsula Hot Springs,-38.39996148964704,144.8432607017213,4.5,4.0,35,Casual,https://amble.guide/wp-content/uploads/2022/06/Peninsula-Hot-Spring-Melbourne-9.jpg,"Peninsula Hot Springs is an award-winning natural hot springs, day spa and wellness destination located on the Mornington Peninsula, just 90 minutes from Melbourne. Natural geothermal mineral waters flow into the pools and private baths at our coastal oasis, providing an idyllic setting for relaxation and rejuvenation. Our Bath House offers the ideal environment for those who prefer to connect with a family friendly bathing experience.The Spa Dreaming Centre is a blissful sanctuary with an emphasis on tranquil spaces, designed for guests 16 years and older."
Royal Botanic Gardens,-37.828623078543664,144.97554382299174,4.7,4.5,0,Casual,https://amble.guide/wp-content/uploads/2022/05/Royal-Botanic-Gardens-Melbourne-4.jpg,"Visit Melbourne's inner-city oasis. Over 10,000 plant species from around the world are presented in a kaleidoscope of colour and texture. Sweeping lawns, tranquil lakes and majestic trees are home to an amazing range of wildlife."
Melbourne Zoo,-37.783922618103695,144.9515419355027,4.4,4.5,46,Feature,https://amble.guide/wp-content/uploads/2022/05/Melbourne-Zoo-Melbourne-1.jpg,"Journey through a world of wildlife in the heart of Melbourne. Over 250 species from around the world can be found in the beautiful setting of Melbourne Zoo, just five minutes from the city centre. Stroll through the lush Asian and African rainforests, Australian bushland and even underwater! Walk where tigers roam and monkeys swing from tree to tree. See eye-to-eye with the Orang-utans in their special elevated exhibit, explore the Trail of Elephants and then head down the bush track to see unique Australian wildlife including koalas, kangaroos, wombats and emus. Submerge yourself in our underwater world to see Victoria's iconic Little Penguins, Australian Fur Seals and more! Meet the Keeper: Hear our expert keepers give daily talks about the animals in their care. Close-up Encounters: Book a close-up encounter with one of our animals for a great photo opportunity. Melbourne Zoo is also the proud winner of the Victoria Tourism Awards RACV People’s Choice category, voted by Victorians as their Favourite Metro Attraction in both 2015 and 2016!"
Fitzroy,-37.79825847617197,144.97858995934527,4.6,4.5,0,City Tour,https://amble.guide/wp-content/uploads/2022/07/Fitzroy-Melbourne-3.jpg,"Each suburb in Melbourne has its own distinct flair. One of the liveliest and historical is Fitzroy. Located approximately 3km from the city, Fitzroy is Melbourne’s oldest suburb."
Dandenong Ranges,-37.889912597086536,145.3177036550218,4.7,4.5,0,Adventure,https://amble.guide/wp-content/uploads/2022/05/Dandenong-Ranges-3.jpg,"The Dandenong Ranges (or just ‘the Dandenongs) are a range of mountains located 35km (22miles) east of the Melbourne city centre. Since the 1870’s they’ve been a popular destination for daytrippers looking to escape the concrete jungle."
